track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144.0,11,84,6.0,1,30.0,98,70,37,54,6,9,8
Creep,Radiohead,1,1992,9,21,36724,7,1271293243.0,146,72,0.0,5,80.0,92,53,12,34,1,12,4
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712.0,38,25,61.0,5,263.0,150,34,24,56,4,11,3
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534.0,61,96,790.0,2,116.0,94,37,17,47,2,11,3
Cheques,Shubh,1,2023,5,19,67,8,47956378.0,7,10,790.0,2,57.0,90,74,36,63,26,27,5
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070.0,112,68,266.0,1,39.0,160,54,54,55,67,42,11
Circles,Post Malone,1,2019,8,30,19664,16,2132335812.0,391,73,633.0,3,37.0,120,70,59,75,24,9,4
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668.0,82,73,0.0,3,37.0,109,63,46,85,1,9,5
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446.0,187,99,0.0,1,37.0,129,57,41,66,63,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268.0,27,129,21.0,7,111.0,157,54,75,60,30,7,5
You Belong With Me (Taylor's Version),Taylor Swift,1,2021,4,9,2619,12,350381515.0,47,90,1.0,7,7.0,130,63,49,73,5,9,3
Tití Me Preguntó,Bad Bunny,1,2022,5,6,9037,42,1264310836.0,124,133,139.0,14,166.0,107,65,19,72,10,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206.0,3,33,3.0,14,1.0,146,50,67,89,10,19,8
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812.0,1,50,19.0,14,19.0,139,48,37,41,32,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611.0,71,37,653.0,14,167.0,116,74,76,70,7,13,3
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19.0,14,167.0,95,84,52,77,12,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735.0,20,46,21.0,8,99.0,170,62,55,80,15,37,7
Ditto,NewJeans,1,2022,12,19,1154,22,397582059.0,28,125,11.0,1,51.0,134,81,18,64,3,10,11
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056.0,34,125,0.0,6,51.0,84,57,86,90,2,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632.0,13,46,20.0,1,10.0,146,61,20,48,21,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727.0,22,18,15.0,1,10.0,74,53,24,67,11,10,28
Acróstico,Shakira,1,2023,5,11,955,29,123124076.0,37,50,79.0,11,31.0,144,75,35,48,84,10,12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958.0,12,117,9.0,5,3.0,136,77,79,73,15,27,10
