track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65.0,16,0.0,144,77,75,58,52,23,25
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138.0,1,102.0,122,67,49,64,10,10,3
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458.0,37,332.0,140,71,82,81,11,6,5
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24.0,37,259.0,134,59,51,52,9,15,7
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,0.0,1,140.0,186,68,49,59,16,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74.0,1,16.0,67,53,50,53,23,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57.0,10,110.0,106,72,17,64,7,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213.0,11,810.0,128,60,23,91,7,12,3
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23.0,10,176.0,107,92,55,70,18,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,14,71,109.0,17,176.0,130,67,96,88,12,8,4
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,0.0,19,176.0,123,45,13,54,70,9,4
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,0.0,20,176.0,171,50,38,80,70,9,7
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57.0,1,615.0,137,64,88,72,51,17,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161.0,15,210.0,125,84,85,68,58,22,4
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39.0,6,216.0,128,86,42,72,59,9,19
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142.0,4,215.0,130,61,53,58,55,27,4
Tá Ok,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73.0,4,167.0,130,86,59,96,50,9,5
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102.0,14,37.0,133,70,86,81,25,25,5
